"","n_FTA","unemployed","drug_abuse","n_violent_arrest","race","vprai","judge","pretrial_failure"
"1",0,1,0,0,1,2,1,NA
"2",0,1,1,4,1,2,1,NA
"3",0,0,0,0,1,2,2,0
"4",0,0,0,0,0,2,1,NA
"5",0,0,1,1,0,2,2,0
"6",3,1,0,2,1,1,1,NA
"7",0,0,0,0,1,2,2,0
"8",0,0,0,0,1,2,1,NA
"9",0,0,1,0,0,2,2,0
"10",1,1,0,0,1,2,2,0
"11",0,0,0,0,1,2,1,NA
"12",0,0,1,0,0,1,1,NA
"13",0,0,1,0,1,2,1,NA
"14",0,0,0,0,0,2,1,NA
"15",2,0,1,9,1,1,1,NA
"16",0,1,0,7,1,2,1,NA
"17",0,0,1,0,1,2,2,0
"18",0,0,1,0,1,2,1,NA
"19",1,1,1,0,1,1,1,NA
"20",0,0,0,0,1,2,2,0
"21",0,0,0,0,1,2,1,NA
"22",0,0,0,5,1,2,2,0
"23",0,0,1,0,1,2,2,0
"24",0,0,1,0,1,2,1,NA
"25",0,0,1,0,1,2,2,0
"26",0,0,0,0,1,2,2,0
"27",0,0,0,3,1,2,1,NA
"28",3,1,1,5,1,2,1,NA
"29",0,1,0,0,1,2,1,NA
"30",0,1,1,0,1,2,2,0
"31",0,0,0,6,0,1,1,NA
"32",0,0,1,3,0,2,1,NA
"33",0,0,0,0,0,2,2,1
"34",0,0,1,6,1,2,2,0
"35",0,0,1,0,0,2,1,NA
"36",0,0,0,0,0,2,2,0
"37",0,0,0,0,1,2,2,0
"38",0,1,0,5,1,1,2,1
"39",0,0,0,0,1,2,2,0
"40",0,0,1,5,0,2,2,0
"41",1,1,0,0,0,2,2,0
"42",0,0,0,0,1,2,2,0
"43",0,0,1,6,1,2,1,NA
"44",0,0,0,0,1,2,1,NA
"45",0,0,1,4,1,2,2,0
"46",0,0,0,0,1,2,1,NA
"47",0,0,0,3,1,2,2,0
"48",1,1,1,2,0,2,1,NA
"49",0,0,0,0,1,2,2,0
"50",0,0,0,2,1,2,1,NA
"51",0,0,1,0,0,1,1,NA
"52",0,0,0,5,0,2,2,0
"53",0,1,1,0,1,2,2,0
"54",0,1,0,0,0,2,1,NA
"55",2,1,1,0,1,1,1,NA
"56",0,0,0,0,1,2,2,0
"57",0,0,0,0,0,2,2,1
"58",0,0,0,0,1,2,1,NA
"59",0,1,0,1,1,2,2,0
"60",0,0,1,0,1,2,2,0
"61",0,0,0,2,0,2,2,0
"62",0,0,1,3,0,2,2,0
"63",0,0,0,0,0,2,1,NA
"64",0,0,0,2,1,2,1,NA
"65",0,0,0,5,1,2,1,NA
"66",0,0,0,0,1,2,2,0
"67",0,0,1,3,1,2,1,NA
"68",0,0,0,4,0,2,2,0
"69",0,1,0,4,1,2,1,NA
"70",0,0,0,0,1,2,1,NA
"71",1,1,1,4,0,2,2,1
"72",0,0,0,3,1,2,2,0
"73",1,0,0,0,0,2,2,0
"74",0,1,1,0,0,2,2,1
"75",1,0,1,8,1,2,1,NA
"76",0,1,0,3,1,2,2,0
"77",0,0,1,3,1,1,1,NA
"78",1,0,1,4,1,1,1,NA
"79",0,0,1,7,1,2,2,0
"80",0,1,0,0,1,2,1,NA
